num_nodes,num_samples,edge_prob,Algorithm,SHD,CHD
8,1000,0.8,MCMC,27.0,6
8,1000,0.8,GES,28.0,
8,500,0.8,MCMC,22.0,6
8,500,0.8,GES,20.0,
8,100,0.8,MCMC,27.0,3
8,100,0.8,GES,25.0,
8,1000,0.8,MCMC,27.0,5
8,1000,0.8,GES,24.0,
8,500,0.8,MCMC,12.0,4
8,500,0.8,GES,17.0,
8,100,0.8,MCMC,17.0,4
8,100,0.8,GES,26.0,
8,1000,0.8,MCMC,28.0,5
8,1000,0.8,GES,16.0,
8,500,0.8,MCMC,26.0,4
8,500,0.8,GES,20.0,
8,100,0.8,MCMC,19.0,4
8,100,0.8,GES,20.0,
8,1000,0.8,MCMC,18.0,5
8,1000,0.8,GES,17.0,
8,500,0.8,MCMC,35.0,6
8,500,0.8,GES,18.0,
8,100,0.8,MCMC,27.0,5
8,100,0.8,GES,30.0,
8,1000,0.8,MCMC,26.0,4
8,1000,0.8,GES,17.0,
8,500,0.8,MCMC,30.0,5
8,500,0.8,GES,28.0,
8,100,0.8,MCMC,28.0,4
8,100,0.8,GES,29.0,
8,1000,0.8,MCMC,24.0,4
8,1000,0.8,GES,22.0,
8,500,0.8,MCMC,24.0,5
8,500,0.8,GES,25.0,
8,100,0.8,MCMC,19.0,6
8,100,0.8,GES,21.0,
8,1000,0.8,MCMC,28.0,5
8,1000,0.8,GES,27.0,
8,500,0.8,MCMC,28.0,5
8,500,0.8,GES,25.0,
8,100,0.8,MCMC,9.0,5
8,100,0.8,GES,24.0,
8,1000,0.8,MCMC,32.0,6
8,1000,0.8,GES,26.0,
8,500,0.8,MCMC,28.0,6
8,500,0.8,GES,22.0,
8,100,0.8,MCMC,20.0,5
8,100,0.8,GES,26.0,
8,1000,0.8,MCMC,22.0,6
8,1000,0.8,GES,29.0,
8,500,0.8,MCMC,34.0,6
8,500,0.8,GES,30.0,
8,100,0.8,MCMC,30.0,5
8,100,0.8,GES,30.0,
8,1000,0.8,MCMC,27.0,5
8,1000,0.8,GES,26.0,
8,500,0.8,MCMC,36.0,4
8,500,0.8,GES,32.0,
8,100,0.8,MCMC,24.0,3
8,100,0.8,GES,27.0,
8,1000,0.8,MCMC,26.0,6
8,1000,0.8,GES,31.0,
8,500,0.8,MCMC,13.0,4
8,500,0.8,GES,36.0,
8,100,0.8,MCMC,14.0,5
8,100,0.8,GES,35.0,
8,1000,0.8,MCMC,18.0,4
8,1000,0.8,GES,29.0,
8,500,0.8,MCMC,18.0,5
8,500,0.8,GES,20.0,
8,100,0.8,MCMC,25.0,4
8,100,0.8,GES,25.0,
8,1000,0.8,MCMC,40.0,6
8,1000,0.8,GES,37.0,
8,500,0.8,MCMC,20.0,5
8,500,0.8,GES,29.0,
8,100,0.8,MCMC,27.0,4
8,100,0.8,GES,28.0,
8,1000,0.8,MCMC,26.0,5
8,1000,0.8,GES,20.0,
8,500,0.8,MCMC,29.0,5
8,500,0.8,GES,24.0,
8,100,0.8,MCMC,21.0,5
8,100,0.8,GES,18.0,
8,1000,0.8,MCMC,19.0,5
8,1000,0.8,GES,29.0,
8,500,0.8,MCMC,29.0,5
8,500,0.8,GES,24.0,
8,100,0.8,MCMC,39.0,3
8,100,0.8,GES,22.0,
8,1000,0.8,MCMC,18.0,2
8,1000,0.8,GES,13.0,
8,500,0.8,MCMC,8.0,4
8,500,0.8,GES,5.0,
8,100,0.8,MCMC,15.0,4
8,100,0.8,GES,16.0,
8,1000,0.8,MCMC,21.0,5
8,1000,0.8,GES,28.0,
8,500,0.8,MCMC,33.0,5
8,500,0.8,GES,28.0,
8,100,0.8,MCMC,22.0,5
8,100,0.8,GES,27.0,
8,1000,0.8,MCMC,22.0,6
8,1000,0.8,GES,22.0,
8,500,0.8,MCMC,34.0,6
8,500,0.8,GES,26.0,
8,100,0.8,MCMC,25.0,4
8,100,0.8,GES,35.0,
8,1000,0.8,MCMC,18.0,3
8,1000,0.8,GES,35.0,
8,500,0.8,MCMC,35.0,3
8,500,0.8,GES,33.0,
8,100,0.8,MCMC,23.0,3
8,100,0.8,GES,34.0,
8,1000,0.8,MCMC,20.0,5
8,1000,0.8,GES,20.0,
8,500,0.8,MCMC,24.0,5
8,500,0.8,GES,19.0,
8,100,0.8,MCMC,23.0,5
8,100,0.8,GES,22.0,
8,1000,0.8,MCMC,22.0,6
8,1000,0.8,GES,10.0,
8,500,0.8,MCMC,15.0,3
8,500,0.8,GES,4.0,
8,100,0.8,MCMC,26.0,5
8,100,0.8,GES,11.0,
8,1000,0.8,MCMC,10.0,3
8,1000,0.8,GES,10.0,
8,500,0.8,MCMC,20.0,5
8,500,0.8,GES,13.0,
8,100,0.8,MCMC,13.0,4
8,100,0.8,GES,11.0,
8,1000,0.8,MCMC,34.0,5
8,1000,0.8,GES,25.0,
8,500,0.8,MCMC,20.0,4
8,500,0.8,GES,26.0,
8,100,0.8,MCMC,19.0,4
8,100,0.8,GES,23.0,
8,1000,0.8,MCMC,23.0,4
8,1000,0.8,GES,28.0,
8,500,0.8,MCMC,28.0,5
8,500,0.8,GES,28.0,
8,100,0.8,MCMC,22.0,5
8,100,0.8,GES,27.0,
8,1000,0.8,MCMC,13.0,4
8,1000,0.8,GES,13.0,
8,500,0.8,MCMC,14.0,5
8,500,0.8,GES,26.0,
8,100,0.8,MCMC,11.0,5
8,100,0.8,GES,22.0,
8,1000,0.6,MCMC,24.0,6
8,1000,0.6,GES,29.0,
8,500,0.6,MCMC,15.0,4
8,500,0.6,GES,26.0,
8,100,0.6,MCMC,19.0,5
8,100,0.6,GES,21.0,
8,1000,0.6,MCMC,23.0,5
8,1000,0.6,GES,30.0,
8,500,0.6,MCMC,23.0,6
8,500,0.6,GES,23.0,
8,100,0.6,MCMC,11.0,5
8,100,0.6,GES,28.0,
8,1000,0.6,MCMC,32.0,5
8,1000,0.6,GES,14.0,
8,500,0.6,MCMC,7.0,4
8,500,0.6,GES,15.0,
8,100,0.6,MCMC,14.0,4
8,100,0.6,GES,28.0,
8,1000,0.6,MCMC,18.0,4
8,1000,0.6,GES,15.0,
8,500,0.6,MCMC,20.0,4
8,500,0.6,GES,12.0,
8,100,0.6,MCMC,12.0,2
8,100,0.6,GES,18.0,
8,1000,0.6,MCMC,18.0,5
8,1000,0.6,GES,19.0,
8,500,0.6,MCMC,27.0,4
8,500,0.6,GES,34.0,
8,100,0.6,MCMC,20.0,3
8,100,0.6,GES,23.0,
8,1000,0.6,MCMC,11.0,5
8,1000,0.6,GES,32.0,
8,500,0.6,MCMC,16.0,2
8,500,0.6,GES,28.0,
8,100,0.6,MCMC,22.0,4
8,100,0.6,GES,21.0,
8,1000,0.6,MCMC,24.0,4
8,1000,0.6,GES,12.0,
8,500,0.6,MCMC,12.0,5
8,500,0.6,GES,11.0,
8,100,0.6,MCMC,7.0,4
8,100,0.6,GES,19.0,
8,1000,0.6,MCMC,16.0,5
8,1000,0.6,GES,14.0,
8,500,0.6,MCMC,8.0,5
8,500,0.6,GES,14.0,
8,100,0.6,MCMC,8.0,5
8,100,0.6,GES,13.0,
8,1000,0.6,MCMC,11.0,3
8,1000,0.6,GES,11.0,
8,500,0.6,MCMC,10.0,5
8,500,0.6,GES,21.0,
8,100,0.6,MCMC,8.0,3
8,100,0.6,GES,11.0,
8,1000,0.6,MCMC,26.0,4
8,1000,0.6,GES,18.0,
8,500,0.6,MCMC,9.0,4
8,500,0.6,GES,17.0,
8,100,0.6,MCMC,15.0,3
8,100,0.6,GES,20.0,
8,1000,0.6,MCMC,14.0,5
8,1000,0.6,GES,12.0,
8,500,0.6,MCMC,11.0,4
8,500,0.6,GES,10.0,
8,100,0.6,MCMC,23.0,5
8,100,0.6,GES,21.0,
8,1000,0.6,MCMC,23.0,5
8,1000,0.6,GES,22.0,
8,500,0.6,MCMC,18.0,5
8,500,0.6,GES,22.0,
8,100,0.6,MCMC,19.0,4
8,100,0.6,GES,21.0,
8,1000,0.6,MCMC,5.0,4
8,1000,0.6,GES,29.0,
8,500,0.6,MCMC,17.0,5
8,500,0.6,GES,25.0,
8,100,0.6,MCMC,19.0,5
8,100,0.6,GES,24.0,
8,1000,0.6,MCMC,36.0,5
8,1000,0.6,GES,24.0,
8,500,0.6,MCMC,15.0,2
8,500,0.6,GES,16.0,
8,100,0.6,MCMC,14.0,4
8,100,0.6,GES,20.0,
8,1000,0.6,MCMC,13.0,6
8,1000,0.6,GES,15.0,
8,500,0.6,MCMC,25.0,6
8,500,0.6,GES,12.0,
8,100,0.6,MCMC,22.0,3
8,100,0.6,GES,18.0,
8,1000,0.6,MCMC,14.0,4
8,1000,0.6,GES,21.0,
8,500,0.6,MCMC,16.0,4
8,500,0.6,GES,24.0,
8,100,0.6,MCMC,19.0,6
8,100,0.6,GES,23.0,
8,1000,0.6,MCMC,26.0,6
8,1000,0.6,GES,25.0,
8,500,0.6,MCMC,18.0,4
8,500,0.6,GES,23.0,
8,100,0.6,MCMC,16.0,2
8,100,0.6,GES,23.0,
8,1000,0.6,MCMC,29.0,5
8,1000,0.6,GES,28.0,
8,500,0.6,MCMC,17.0,5
8,500,0.6,GES,25.0,
8,100,0.6,MCMC,28.0,4
8,100,0.6,GES,19.0,
8,1000,0.6,MCMC,9.0,3
8,1000,0.6,GES,18.0,
8,500,0.6,MCMC,18.0,5
8,500,0.6,GES,23.0,
8,100,0.6,MCMC,1.0,2
8,100,0.6,GES,14.0,
8,1000,0.6,MCMC,29.0,4
8,1000,0.6,GES,26.0,
8,500,0.6,MCMC,28.0,4
8,500,0.6,GES,22.0,
8,100,0.6,MCMC,15.0,3
8,100,0.6,GES,26.0,
8,1000,0.6,MCMC,7.0,0
8,1000,0.6,GES,6.0,
8,500,0.6,MCMC,7.0,2
8,500,0.6,GES,8.0,
8,100,0.6,MCMC,14.0,4
8,100,0.6,GES,12.0,
8,1000,0.6,MCMC,17.0,4
8,1000,0.6,GES,12.0,
8,500,0.6,MCMC,20.0,5
8,500,0.6,GES,20.0,
8,100,0.6,MCMC,21.0,3
8,100,0.6,GES,9.0,
8,1000,0.6,MCMC,8.0,5
8,1000,0.6,GES,5.0,
8,500,0.6,MCMC,5.0,5
8,500,0.6,GES,14.0,
8,100,0.6,MCMC,9.0,4
8,100,0.6,GES,15.0,
8,1000,0.6,MCMC,14.0,4
8,1000,0.6,GES,3.0,
8,500,0.6,MCMC,15.0,2
8,500,0.6,GES,15.0,
8,100,0.6,MCMC,10.0,1
8,100,0.6,GES,17.0,
8,1000,0.6,MCMC,15.0,4
8,1000,0.6,GES,15.0,
8,500,0.6,MCMC,5.0,5
8,500,0.6,GES,24.0,
8,100,0.6,MCMC,13.0,3
8,100,0.6,GES,17.0,
8,1000,0.4,MCMC,9.0,3
8,1000,0.4,GES,5.0,
8,500,0.4,MCMC,8.0,3
8,500,0.4,GES,3.0,
8,100,0.4,MCMC,16.0,5
8,100,0.4,GES,5.0,
8,1000,0.4,MCMC,16.0,5
8,1000,0.4,GES,7.0,
8,500,0.4,MCMC,9.0,4
8,500,0.4,GES,3.0,
8,100,0.4,MCMC,11.0,3
8,100,0.4,GES,5.0,
8,1000,0.4,MCMC,9.0,2
8,1000,0.4,GES,1.0,
8,500,0.4,MCMC,11.0,5
8,500,0.4,GES,10.0,
8,100,0.4,MCMC,9.0,3
8,100,0.4,GES,6.0,
8,1000,0.4,MCMC,16.0,4
8,1000,0.4,GES,10.0,
8,500,0.4,MCMC,14.0,3
8,500,0.4,GES,9.0,
8,100,0.4,MCMC,14.0,4
8,100,0.4,GES,14.0,
8,1000,0.4,MCMC,8.0,3
8,1000,0.4,GES,2.0,
8,500,0.4,MCMC,8.0,1
8,500,0.4,GES,2.0,
8,100,0.4,MCMC,9.0,1
8,100,0.4,GES,3.0,
8,1000,0.4,MCMC,7.0,1
8,1000,0.4,GES,16.0,
8,500,0.4,MCMC,18.0,2
8,500,0.4,GES,10.0,
8,100,0.4,MCMC,12.0,4
8,100,0.4,GES,6.0,
8,1000,0.4,MCMC,6.0,3
8,1000,0.4,GES,2.0,
8,500,0.4,MCMC,5.0,2
8,500,0.4,GES,2.0,
8,100,0.4,MCMC,8.0,1
8,100,0.4,GES,5.0,
8,1000,0.4,MCMC,5.0,3
8,1000,0.4,GES,5.0,
8,500,0.4,MCMC,13.0,4
8,500,0.4,GES,6.0,
8,100,0.4,MCMC,7.0,4
8,100,0.4,GES,9.0,
8,1000,0.4,MCMC,11.0,5
8,1000,0.4,GES,2.0,
8,500,0.4,MCMC,9.0,4
8,500,0.4,GES,2.0,
8,100,0.4,MCMC,16.0,4
8,100,0.4,GES,8.0,
8,1000,0.4,MCMC,8.0,4
8,1000,0.4,GES,14.0,
8,500,0.4,MCMC,12.0,3
8,500,0.4,GES,13.0,
8,100,0.4,MCMC,17.0,4
8,100,0.4,GES,15.0,
8,1000,0.4,MCMC,18.0,4
8,1000,0.4,GES,14.0,
8,500,0.4,MCMC,14.0,4
8,500,0.4,GES,16.0,
8,100,0.4,MCMC,15.0,2
8,100,0.4,GES,10.0,
8,1000,0.4,MCMC,8.0,2
8,1000,0.4,GES,3.0,
8,500,0.4,MCMC,10.0,1
8,500,0.4,GES,3.0,
8,100,0.4,MCMC,11.0,2
8,100,0.4,GES,9.0,
8,1000,0.4,MCMC,8.0,4
8,1000,0.4,GES,14.0,
8,500,0.4,MCMC,12.0,5
8,500,0.4,GES,25.0,
8,100,0.4,MCMC,18.0,4
8,100,0.4,GES,11.0,
8,1000,0.4,MCMC,13.0,4
8,1000,0.4,GES,1.0,
8,500,0.4,MCMC,9.0,5
8,500,0.4,GES,1.0,
8,100,0.4,MCMC,8.0,3
8,100,0.4,GES,5.0,
8,1000,0.4,MCMC,5.0,4
8,1000,0.4,GES,1.0,
8,500,0.4,MCMC,6.0,4
8,500,0.4,GES,9.0,
8,100,0.4,MCMC,6.0,2
8,100,0.4,GES,9.0,
8,1000,0.4,MCMC,9.0,4
8,1000,0.4,GES,13.0,
8,500,0.4,MCMC,8.0,4
8,500,0.4,GES,12.0,
8,100,0.4,MCMC,12.0,2
8,100,0.4,GES,15.0,
8,1000,0.4,MCMC,14.0,4
8,1000,0.4,GES,12.0,
8,500,0.4,MCMC,14.0,5
8,500,0.4,GES,13.0,
8,100,0.4,MCMC,8.0,4
8,100,0.4,GES,16.0,
8,1000,0.4,MCMC,14.0,4
8,1000,0.4,GES,15.0,
8,500,0.4,MCMC,7.0,3
8,500,0.4,GES,14.0,
8,100,0.4,MCMC,12.0,0
8,100,0.4,GES,9.0,
8,1000,0.4,MCMC,10.0,3
8,1000,0.4,GES,1.0,
8,500,0.4,MCMC,7.0,1
8,500,0.4,GES,10.0,
8,100,0.4,MCMC,10.0,3
8,100,0.4,GES,5.0,
8,1000,0.4,MCMC,10.0,5
8,1000,0.4,GES,5.0,
8,500,0.4,MCMC,10.0,3
8,500,0.4,GES,17.0,
8,100,0.4,MCMC,15.0,5
8,100,0.4,GES,12.0,
8,1000,0.4,MCMC,6.0,2
8,1000,0.4,GES,23.0,
8,500,0.4,MCMC,6.0,4
8,500,0.4,GES,6.0,
8,100,0.4,MCMC,8.0,4
8,100,0.4,GES,18.0,
8,1000,0.4,MCMC,11.0,3
8,1000,0.4,GES,25.0,
8,500,0.4,MCMC,6.0,2
8,500,0.4,GES,4.0,
8,100,0.4,MCMC,14.0,5
8,100,0.4,GES,16.0,
8,1000,0.4,MCMC,13.0,5
8,1000,0.4,GES,14.0,
8,500,0.4,MCMC,16.0,4
8,500,0.4,GES,15.0,
8,100,0.4,MCMC,17.0,3
8,100,0.4,GES,9.0,
8,1000,0.4,MCMC,11.0,5
8,1000,0.4,GES,4.0,
8,500,0.4,MCMC,9.0,5
8,500,0.4,GES,3.0,
8,100,0.4,MCMC,14.0,4
8,100,0.4,GES,5.0,
8,1000,0.4,MCMC,10.0,5
8,1000,0.4,GES,0.0,
8,500,0.4,MCMC,8.0,5
8,500,0.4,GES,16.0,
8,100,0.4,MCMC,19.0,4
8,100,0.4,GES,16.0,
8,1000,0.2,MCMC,10.0,3
8,1000,0.2,GES,6.0,
8,500,0.2,MCMC,8.0,4
8,500,0.2,GES,4.0,
8,100,0.2,MCMC,6.0,1
8,100,0.2,GES,4.0,
8,1000,0.2,MCMC,8.0,5
8,1000,0.2,GES,6.0,
8,500,0.2,MCMC,6.0,3
8,500,0.2,GES,5.0,
8,100,0.2,MCMC,7.0,5
8,100,0.2,GES,3.0,
8,1000,0.2,MCMC,7.0,3
8,1000,0.2,GES,3.0,
8,500,0.2,MCMC,9.0,2
8,500,0.2,GES,2.0,
8,100,0.2,MCMC,7.0,3
8,100,0.2,GES,3.0,
8,1000,0.2,MCMC,6.0,3
8,1000,0.2,GES,3.0,
8,500,0.2,MCMC,8.0,2
8,500,0.2,GES,2.0,
8,100,0.2,MCMC,6.0,0
8,100,0.2,GES,3.0,
8,1000,0.2,MCMC,6.0,2
8,1000,0.2,GES,2.0,
8,500,0.2,MCMC,6.0,4
8,500,0.2,GES,2.0,
8,100,0.2,MCMC,7.0,3
8,100,0.2,GES,3.0,
8,1000,0.2,MCMC,4.0,4
8,1000,0.2,GES,4.0,
8,500,0.2,MCMC,8.0,3
8,500,0.2,GES,4.0,
8,100,0.2,MCMC,7.0,0
8,100,0.2,GES,8.0,
8,1000,0.2,MCMC,10.0,5
8,1000,0.2,GES,5.0,
8,500,0.2,MCMC,8.0,2
8,500,0.2,GES,5.0,
8,100,0.2,MCMC,11.0,4
8,100,0.2,GES,7.0,
8,1000,0.2,MCMC,6.0,2
8,1000,0.2,GES,3.0,
8,500,0.2,MCMC,6.0,1
8,500,0.2,GES,4.0,
8,100,0.2,MCMC,5.0,2
8,100,0.2,GES,3.0,
8,1000,0.2,MCMC,8.0,2
8,1000,0.2,GES,3.0,
8,500,0.2,MCMC,7.0,3
8,500,0.2,GES,3.0,
8,100,0.2,MCMC,4.0,3
8,100,0.2,GES,4.0,
8,1000,0.2,MCMC,9.0,3
8,1000,0.2,GES,2.0,
8,500,0.2,MCMC,7.0,2
8,500,0.2,GES,2.0,
8,100,0.2,MCMC,8.0,3
8,100,0.2,GES,2.0,
8,1000,0.2,MCMC,6.0,1
8,1000,0.2,GES,3.0,
8,500,0.2,MCMC,6.0,2
8,500,0.2,GES,3.0,
8,100,0.2,MCMC,8.0,1
8,100,0.2,GES,7.0,
8,1000,0.2,MCMC,10.0,3
8,1000,0.2,GES,8.0,
8,500,0.2,MCMC,10.0,3
8,500,0.2,GES,6.0,
8,100,0.2,MCMC,6.0,3
8,100,0.2,GES,6.0,
8,1000,0.2,MCMC,7.0,5
8,1000,0.2,GES,3.0,
8,500,0.2,MCMC,7.0,3
8,500,0.2,GES,3.0,
8,100,0.2,MCMC,8.0,3
8,100,0.2,GES,2.0,
8,1000,0.2,MCMC,8.0,0
8,1000,0.2,GES,3.0,
8,500,0.2,MCMC,6.0,1
8,500,0.2,GES,5.0,
8,100,0.2,MCMC,4.0,4
8,100,0.2,GES,3.0,
8,1000,0.2,MCMC,16.0,5
8,1000,0.2,GES,5.0,
8,500,0.2,MCMC,6.0,4
8,500,0.2,GES,5.0,
8,100,0.2,MCMC,15.0,3
8,100,0.2,GES,11.0,
8,1000,0.2,MCMC,10.0,1
8,1000,0.2,GES,4.0,
8,500,0.2,MCMC,13.0,1
8,500,0.2,GES,7.0,
8,100,0.2,MCMC,12.0,1
8,100,0.2,GES,7.0,
8,1000,0.2,MCMC,6.0,3
8,1000,0.2,GES,5.0,
8,500,0.2,MCMC,13.0,4
8,500,0.2,GES,6.0,
8,100,0.2,MCMC,10.0,2
8,100,0.2,GES,9.0,
8,1000,0.2,MCMC,5.0,2
8,1000,0.2,GES,5.0,
8,500,0.2,MCMC,6.0,4
8,500,0.2,GES,3.0,
8,100,0.2,MCMC,9.0,3
8,100,0.2,GES,8.0,
8,1000,0.2,MCMC,9.0,3
8,1000,0.2,GES,2.0,
8,500,0.2,MCMC,4.0,4
8,500,0.2,GES,2.0,
8,100,0.2,MCMC,6.0,3
8,100,0.2,GES,2.0,
8,1000,0.2,MCMC,5.0,4
8,1000,0.2,GES,1.0,
8,500,0.2,MCMC,6.0,2
8,500,0.2,GES,1.0,
8,100,0.2,MCMC,8.0,1
8,100,0.2,GES,3.0,
8,1000,0.2,MCMC,5.0,4
8,1000,0.2,GES,8.0,
8,500,0.2,MCMC,8.0,2
8,500,0.2,GES,4.0,
8,100,0.2,MCMC,6.0,3
8,100,0.2,GES,5.0,
8,1000,0.2,MCMC,8.0,3
8,1000,0.2,GES,9.0,
8,500,0.2,MCMC,7.0,2
8,500,0.2,GES,5.0,
8,100,0.2,MCMC,6.0,2
8,100,0.2,GES,5.0,
8,1000,0.2,MCMC,7.0,1
8,1000,0.2,GES,3.0,
8,500,0.2,MCMC,7.0,2
8,500,0.2,GES,1.0,
8,100,0.2,MCMC,7.0,3
8,100,0.2,GES,1.0,
