num_nodes,num_samples,edge_prob,Algorithm,SHD,CHD
8,1000,0.2,MCMC,8.0,4
8,1000,0.2,GES,5.0,
8,500,0.2,MCMC,8.0,3
8,500,0.2,GES,3.0,
8,100,0.2,MCMC,9.0,2
8,100,0.2,GES,8.0,
8,1000,0.2,MCMC,7.0,4
8,1000,0.2,GES,1.0,
8,500,0.2,MCMC,5.0,3
8,500,0.2,GES,1.0,
8,100,0.2,MCMC,4.0,3
8,100,0.2,GES,1.0,
6,1000,0.8,MCMC,15.0,4
6,1000,0.8,GES,12.0,
6,500,0.8,MCMC,13.0,3
6,500,0.8,GES,11.0,
6,100,0.8,MCMC,11.0,2
6,100,0.8,GES,13.0,
6,1000,0.8,MCMC,8.0,3
6,1000,0.8,GES,7.0,
6,500,0.8,MCMC,6.0,3
6,500,0.8,GES,11.0,
6,100,0.8,MCMC,9.0,3
6,100,0.8,GES,15.0,
6,1000,0.8,MCMC,21.0,2
6,1000,0.8,GES,7.0,
6,500,0.8,MCMC,10.0,1
6,500,0.8,GES,13.0,
6,100,0.8,MCMC,11.0,2
6,100,0.8,GES,18.0,
6,1000,0.8,MCMC,2.0,2
6,1000,0.8,GES,6.0,
6,500,0.8,MCMC,7.0,3
6,500,0.8,GES,6.0,
6,100,0.8,MCMC,6.0,2
6,100,0.8,GES,11.0,
6,1000,0.8,MCMC,4.0,4
6,1000,0.8,GES,12.0,
6,500,0.8,MCMC,5.0,4
6,500,0.8,GES,5.0,
6,100,0.8,MCMC,2.0,2
6,100,0.8,GES,7.0,
6,1000,0.8,MCMC,9.0,3
6,1000,0.8,GES,13.0,
6,500,0.8,MCMC,14.0,3
6,500,0.8,GES,11.0,
6,100,0.8,MCMC,15.0,3
6,100,0.8,GES,11.0,
6,1000,0.8,MCMC,11.0,2
6,1000,0.8,GES,11.0,
6,500,0.8,MCMC,10.0,2
6,500,0.8,GES,13.0,
6,100,0.8,MCMC,6.0,2
6,100,0.8,GES,11.0,
6,1000,0.8,MCMC,8.0,4
6,1000,0.8,GES,17.0,
6,500,0.8,MCMC,19.0,2
6,500,0.8,GES,13.0,
6,100,0.8,MCMC,8.0,1
6,100,0.8,GES,15.0,
6,1000,0.8,MCMC,11.0,4
6,1000,0.8,GES,18.0,
6,500,0.8,MCMC,14.0,3
6,500,0.8,GES,23.0,
6,100,0.8,MCMC,12.0,3
6,100,0.8,GES,16.0,
6,1000,0.8,MCMC,9.0,1
6,1000,0.8,GES,14.0,
6,500,0.8,MCMC,13.0,3
6,500,0.8,GES,14.0,
6,100,0.8,MCMC,12.0,2
6,100,0.8,GES,7.0,
6,1000,0.8,MCMC,13.0,4
6,1000,0.8,GES,16.0,
6,500,0.8,MCMC,10.0,4
6,500,0.8,GES,17.0,
6,100,0.8,MCMC,17.0,2
6,100,0.8,GES,15.0,
6,1000,0.8,MCMC,6.0,2
6,1000,0.8,GES,11.0,
6,500,0.8,MCMC,5.0,3
6,500,0.8,GES,9.0,
6,100,0.8,MCMC,14.0,4
6,100,0.8,GES,10.0,
6,1000,0.8,MCMC,6.0,4
6,1000,0.8,GES,12.0,
6,500,0.8,MCMC,15.0,3
6,500,0.8,GES,12.0,
6,100,0.8,MCMC,17.0,3
6,100,0.8,GES,11.0,
6,1000,0.8,MCMC,14.0,4
6,1000,0.8,GES,12.0,
6,500,0.8,MCMC,8.0,3
6,500,0.8,GES,8.0,
6,100,0.8,MCMC,7.0,1
6,100,0.8,GES,13.0,
6,1000,0.8,MCMC,9.0,3
6,1000,0.8,GES,20.0,
6,500,0.8,MCMC,1.0,2
6,500,0.8,GES,19.0,
6,100,0.8,MCMC,5.0,2
6,100,0.8,GES,21.0,
6,1000,0.8,MCMC,17.0,4
6,1000,0.8,GES,12.0,
6,500,0.8,MCMC,19.0,3
6,500,0.8,GES,12.0,
6,100,0.8,MCMC,15.0,3
6,100,0.8,GES,15.0,
6,1000,0.8,MCMC,17.0,3
6,1000,0.8,GES,16.0,
6,500,0.8,MCMC,18.0,3
6,500,0.8,GES,18.0,
6,100,0.8,MCMC,5.0,3
6,100,0.8,GES,14.0,
6,1000,0.8,MCMC,2.0,2
6,1000,0.8,GES,12.0,
6,500,0.8,MCMC,1.0,2
6,500,0.8,GES,6.0,
6,100,0.8,MCMC,8.0,0
6,100,0.8,GES,7.0,
6,1000,0.8,MCMC,10.0,4
6,1000,0.8,GES,8.0,
6,500,0.8,MCMC,10.0,2
6,500,0.8,GES,9.0,
6,100,0.8,MCMC,9.0,1
6,100,0.8,GES,14.0,
6,1000,0.8,MCMC,9.0,4
6,1000,0.8,GES,5.0,
6,500,0.8,MCMC,4.0,2
6,500,0.8,GES,6.0,
6,100,0.8,MCMC,15.0,3
6,100,0.8,GES,8.0,
6,1000,0.8,MCMC,3.0,2
6,1000,0.8,GES,18.0,
6,500,0.8,MCMC,15.0,3
6,500,0.8,GES,16.0,
6,100,0.8,MCMC,3.0,1
6,100,0.8,GES,16.0,
6,1000,0.8,MCMC,13.0,3
6,1000,0.8,GES,16.0,
6,500,0.8,MCMC,3.0,2
6,500,0.8,GES,15.0,
6,100,0.8,MCMC,10.0,2
6,100,0.8,GES,11.0,
6,1000,0.8,MCMC,7.0,2
6,1000,0.8,GES,13.0,
6,500,0.8,MCMC,12.0,2
6,500,0.8,GES,11.0,
6,100,0.8,MCMC,16.0,2
6,100,0.8,GES,10.0,
6,1000,0.8,MCMC,1.0,1
6,1000,0.8,GES,23.0,
6,500,0.8,MCMC,2.0,3
6,500,0.8,GES,19.0,
6,100,0.8,MCMC,17.0,3
6,100,0.8,GES,15.0,
6,1000,0.8,MCMC,13.0,4
6,1000,0.8,GES,13.0,
6,500,0.8,MCMC,6.0,2
6,500,0.8,GES,5.0,
6,100,0.8,MCMC,17.0,4
6,100,0.8,GES,19.0,
6,1000,0.6,MCMC,8.0,1
6,1000,0.6,GES,5.0,
6,500,0.6,MCMC,4.0,0
6,500,0.6,GES,4.0,
6,100,0.6,MCMC,4.0,2
6,100,0.6,GES,5.0,
6,1000,0.6,MCMC,3.0,2
6,1000,0.6,GES,16.0,
6,500,0.6,MCMC,10.0,4
6,500,0.6,GES,12.0,
6,100,0.6,MCMC,3.0,1
6,100,0.6,GES,1.0,
6,1000,0.6,MCMC,6.0,2
6,1000,0.6,GES,6.0,
6,500,0.6,MCMC,1.0,3
6,500,0.6,GES,15.0,
6,100,0.6,MCMC,5.0,3
6,100,0.6,GES,9.0,
6,1000,0.6,MCMC,4.0,2
6,1000,0.6,GES,3.0,
6,500,0.6,MCMC,1.0,1
6,500,0.6,GES,10.0,
6,100,0.6,MCMC,8.0,0
6,100,0.6,GES,6.0,
6,1000,0.6,MCMC,1.0,1
6,1000,0.6,GES,8.0,
6,500,0.6,MCMC,4.0,3
6,500,0.6,GES,8.0,
6,100,0.6,MCMC,5.0,1
6,100,0.6,GES,11.0,
6,1000,0.6,MCMC,2.0,0
6,1000,0.6,GES,3.0,
6,500,0.6,MCMC,2.0,2
6,500,0.6,GES,3.0,
6,100,0.6,MCMC,5.0,3
6,100,0.6,GES,10.0,
6,1000,0.6,MCMC,4.0,4
6,1000,0.6,GES,6.0,
6,500,0.6,MCMC,5.0,4
6,500,0.6,GES,6.0,
6,100,0.6,MCMC,6.0,3
6,100,0.6,GES,14.0,
6,1000,0.6,MCMC,3.0,0
6,1000,0.6,GES,5.0,
6,500,0.6,MCMC,4.0,1
6,500,0.6,GES,8.0,
6,100,0.6,MCMC,9.0,2
6,100,0.6,GES,8.0,
6,1000,0.6,MCMC,5.0,2
6,1000,0.6,GES,8.0,
6,500,0.6,MCMC,3.0,1
6,500,0.6,GES,8.0,
6,100,0.6,MCMC,3.0,1
6,100,0.6,GES,6.0,
6,1000,0.6,MCMC,13.0,3
6,1000,0.6,GES,21.0,
6,500,0.6,MCMC,9.0,3
6,500,0.6,GES,12.0,
6,100,0.6,MCMC,15.0,1
6,100,0.6,GES,12.0,
6,1000,0.6,MCMC,2.0,0
6,1000,0.6,GES,7.0,
6,500,0.6,MCMC,4.0,2
6,500,0.6,GES,7.0,
6,100,0.6,MCMC,7.0,3
6,100,0.6,GES,9.0,
6,1000,0.6,MCMC,4.0,2
6,1000,0.6,GES,14.0,
6,500,0.6,MCMC,4.0,1
6,500,0.6,GES,12.0,
6,100,0.6,MCMC,3.0,2
6,100,0.6,GES,10.0,
6,1000,0.6,MCMC,9.0,1
6,1000,0.6,GES,18.0,
6,500,0.6,MCMC,16.0,4
6,500,0.6,GES,17.0,
6,100,0.6,MCMC,12.0,3
6,100,0.6,GES,15.0,
6,1000,0.6,MCMC,2.0,2
6,1000,0.6,GES,12.0,
6,500,0.6,MCMC,9.0,2
6,500,0.6,GES,13.0,
6,100,0.6,MCMC,9.0,4
6,100,0.6,GES,12.0,
6,1000,0.6,MCMC,4.0,3
6,1000,0.6,GES,8.0,
6,500,0.6,MCMC,2.0,1
6,500,0.6,GES,8.0,
6,100,0.6,MCMC,12.0,3
6,100,0.6,GES,10.0,
6,1000,0.6,MCMC,4.0,0
6,1000,0.6,GES,0.0,
6,500,0.6,MCMC,1.0,2
6,500,0.6,GES,0.0,
6,100,0.6,MCMC,3.0,1
6,100,0.6,GES,2.0,
6,1000,0.6,MCMC,5.0,0
6,1000,0.6,GES,0.0,
6,500,0.6,MCMC,5.0,2
6,500,0.6,GES,4.0,
6,100,0.6,MCMC,12.0,3
6,100,0.6,GES,9.0,
6,1000,0.6,MCMC,2.0,2
6,1000,0.6,GES,5.0,
6,500,0.6,MCMC,3.0,2
6,500,0.6,GES,10.0,
6,100,0.6,MCMC,3.0,1
6,100,0.6,GES,12.0,
6,1000,0.6,MCMC,6.0,3
6,1000,0.6,GES,11.0,
6,500,0.6,MCMC,6.0,2
6,500,0.6,GES,10.0,
6,100,0.6,MCMC,5.0,3
6,100,0.6,GES,10.0,
6,1000,0.6,MCMC,6.0,3
6,1000,0.6,GES,6.0,
6,500,0.6,MCMC,5.0,3
6,500,0.6,GES,6.0,
6,100,0.6,MCMC,4.0,3
6,100,0.6,GES,12.0,
6,1000,0.6,MCMC,8.0,1
6,1000,0.6,GES,15.0,
6,500,0.6,MCMC,9.0,2
6,500,0.6,GES,11.0,
6,100,0.6,MCMC,6.0,1
6,100,0.6,GES,9.0,
6,1000,0.6,MCMC,3.0,0
6,1000,0.6,GES,8.0,
6,500,0.6,MCMC,14.0,3
6,500,0.6,GES,13.0,
6,100,0.6,MCMC,13.0,2
6,100,0.6,GES,12.0,
6,1000,0.6,MCMC,2.0,1
6,1000,0.6,GES,16.0,
6,500,0.6,MCMC,11.0,3
6,500,0.6,GES,16.0,
6,100,0.6,MCMC,13.0,3
6,100,0.6,GES,13.0,
6,1000,0.6,MCMC,7.0,3
6,1000,0.6,GES,9.0,
6,500,0.6,MCMC,8.0,2
6,500,0.6,GES,5.0,
6,100,0.6,MCMC,8.0,2
6,100,0.6,GES,10.0,
6,1000,0.6,MCMC,6.0,3
6,1000,0.6,GES,13.0,
6,500,0.6,MCMC,3.0,2
6,500,0.6,GES,18.0,
6,100,0.6,MCMC,4.0,3
6,100,0.6,GES,15.0,
6,1000,0.4,MCMC,3.0,1
6,1000,0.4,GES,2.0,
6,500,0.4,MCMC,2.0,2
6,500,0.4,GES,2.0,
6,100,0.4,MCMC,3.0,1
6,100,0.4,GES,3.0,
6,1000,0.4,MCMC,3.0,1
6,1000,0.4,GES,4.0,
6,500,0.4,MCMC,2.0,1
6,500,0.4,GES,4.0,
6,100,0.4,MCMC,4.0,3
6,100,0.4,GES,6.0,
6,1000,0.4,MCMC,3.0,0
6,1000,0.4,GES,2.0,
6,500,0.4,MCMC,3.0,1
6,500,0.4,GES,2.0,
6,100,0.4,MCMC,11.0,2
6,100,0.4,GES,12.0,
6,1000,0.4,MCMC,2.0,1
6,1000,0.4,GES,1.0,
6,500,0.4,MCMC,1.0,2
6,500,0.4,GES,1.0,
6,100,0.4,MCMC,3.0,0
6,100,0.4,GES,6.0,
6,1000,0.4,MCMC,5.0,0
6,1000,0.4,GES,2.0,
6,500,0.4,MCMC,7.0,2
6,500,0.4,GES,6.0,
6,100,0.4,MCMC,5.0,1
6,100,0.4,GES,2.0,
6,1000,0.4,MCMC,2.0,3
6,1000,0.4,GES,10.0,
6,500,0.4,MCMC,6.0,2
6,500,0.4,GES,7.0,
6,100,0.4,MCMC,3.0,3
6,100,0.4,GES,13.0,
6,1000,0.4,MCMC,2.0,0
6,1000,0.4,GES,5.0,
6,500,0.4,MCMC,3.0,0
6,500,0.4,GES,5.0,
6,100,0.4,MCMC,6.0,3
6,100,0.4,GES,5.0,
6,1000,0.4,MCMC,1.0,2
6,1000,0.4,GES,5.0,
6,500,0.4,MCMC,2.0,0
6,500,0.4,GES,3.0,
6,100,0.4,MCMC,1.0,4
6,100,0.4,GES,3.0,
6,1000,0.4,MCMC,2.0,2
6,1000,0.4,GES,4.0,
6,500,0.4,MCMC,4.0,0
6,500,0.4,GES,1.0,
6,100,0.4,MCMC,6.0,2
6,100,0.4,GES,6.0,
6,1000,0.4,MCMC,2.0,0
6,1000,0.4,GES,5.0,
6,500,0.4,MCMC,3.0,0
6,500,0.4,GES,5.0,
6,100,0.4,MCMC,7.0,3
6,100,0.4,GES,5.0,
6,1000,0.4,MCMC,5.0,1
6,1000,0.4,GES,13.0,
6,500,0.4,MCMC,5.0,1
6,500,0.4,GES,12.0,
6,100,0.4,MCMC,8.0,3
6,100,0.4,GES,11.0,
6,1000,0.4,MCMC,4.0,3
6,1000,0.4,GES,4.0,
6,500,0.4,MCMC,2.0,2
6,500,0.4,GES,4.0,
6,100,0.4,MCMC,7.0,2
6,100,0.4,GES,6.0,
6,1000,0.4,MCMC,2.0,0
6,1000,0.4,GES,5.0,
6,500,0.4,MCMC,2.0,2
6,500,0.4,GES,5.0,
6,100,0.4,MCMC,2.0,2
6,100,0.4,GES,5.0,
6,1000,0.4,MCMC,1.0,2
6,1000,0.4,GES,2.0,
6,500,0.4,MCMC,1.0,3
6,500,0.4,GES,2.0,
6,100,0.4,MCMC,2.0,2
6,100,0.4,GES,2.0,
6,1000,0.4,MCMC,1.0,1
6,1000,0.4,GES,4.0,
6,500,0.4,MCMC,4.0,0
6,500,0.4,GES,4.0,
6,100,0.4,MCMC,7.0,2
6,100,0.4,GES,6.0,
6,1000,0.4,MCMC,2.0,1
6,1000,0.4,GES,2.0,
6,500,0.4,MCMC,3.0,0
6,500,0.4,GES,2.0,
6,100,0.4,MCMC,6.0,2
6,100,0.4,GES,7.0,
6,1000,0.4,MCMC,3.0,1
6,1000,0.4,GES,4.0,
6,500,0.4,MCMC,2.0,3
6,500,0.4,GES,4.0,
6,100,0.4,MCMC,3.0,3
6,100,0.4,GES,4.0,
6,1000,0.4,MCMC,2.0,1
6,1000,0.4,GES,1.0,
6,500,0.4,MCMC,6.0,1
6,500,0.4,GES,1.0,
6,100,0.4,MCMC,2.0,2
6,100,0.4,GES,4.0,
6,1000,0.4,MCMC,2.0,2
6,1000,0.4,GES,0.0,
6,500,0.4,MCMC,1.0,3
6,500,0.4,GES,7.0,
6,100,0.4,MCMC,3.0,2
6,100,0.4,GES,6.0,
6,1000,0.4,MCMC,3.0,0
6,1000,0.4,GES,1.0,
6,500,0.4,MCMC,2.0,0
6,500,0.4,GES,1.0,
6,100,0.4,MCMC,7.0,1
6,100,0.4,GES,5.0,
6,1000,0.4,MCMC,7.0,0
6,1000,0.4,GES,7.0,
6,500,0.4,MCMC,4.0,0
6,500,0.4,GES,9.0,
6,100,0.4,MCMC,12.0,3
6,100,0.4,GES,9.0,
6,1000,0.4,MCMC,5.0,0
6,1000,0.4,GES,13.0,
6,500,0.4,MCMC,8.0,1
6,500,0.4,GES,8.0,
6,100,0.4,MCMC,9.0,2
6,100,0.4,GES,8.0,
6,1000,0.4,MCMC,3.0,0
6,1000,0.4,GES,2.0,
6,500,0.4,MCMC,2.0,2
6,500,0.4,GES,5.0,
6,100,0.4,MCMC,3.0,2
6,100,0.4,GES,4.0,
6,1000,0.4,MCMC,5.0,2
6,1000,0.4,GES,2.0,
6,500,0.4,MCMC,2.0,1
6,500,0.4,GES,2.0,
6,100,0.4,MCMC,3.0,2
6,100,0.4,GES,8.0,
6,1000,0.4,MCMC,8.0,0
6,1000,0.4,GES,4.0,
6,500,0.4,MCMC,9.0,2
6,500,0.4,GES,9.0,
6,100,0.4,MCMC,10.0,1
6,100,0.4,GES,9.0,
6,1000,0.2,MCMC,3.0,0
6,1000,0.2,GES,1.0,
6,500,0.2,MCMC,3.0,1
6,500,0.2,GES,1.0,
6,100,0.2,MCMC,2.0,3
6,100,0.2,GES,1.0,
6,1000,0.2,MCMC,5.0,2
6,1000,0.2,GES,2.0,
6,500,0.2,MCMC,1.0,2
6,500,0.2,GES,2.0,
6,100,0.2,MCMC,6.0,2
6,100,0.2,GES,2.0,
6,1000,0.2,MCMC,4.0,1
6,1000,0.2,GES,3.0,
6,500,0.2,MCMC,7.0,1
6,500,0.2,GES,4.0,
6,100,0.2,MCMC,9.0,2
6,100,0.2,GES,4.0,
6,1000,0.2,MCMC,1.0,2
6,1000,0.2,GES,0.0,
6,500,0.2,MCMC,3.0,2
6,500,0.2,GES,0.0,
6,100,0.2,MCMC,4.0,1
6,100,0.2,GES,0.0,
6,1000,0.2,MCMC,2.0,0
6,1000,0.2,GES,2.0,
6,500,0.2,MCMC,4.0,0
6,500,0.2,GES,2.0,
6,100,0.2,MCMC,3.0,0
6,100,0.2,GES,2.0,
6,1000,0.2,MCMC,3.0,2
6,1000,0.2,GES,3.0,
6,500,0.2,MCMC,2.0,0
6,500,0.2,GES,3.0,
6,100,0.2,MCMC,4.0,3
6,100,0.2,GES,4.0,
6,1000,0.2,MCMC,2.0,0
6,1000,0.2,GES,3.0,
6,500,0.2,MCMC,3.0,2
6,500,0.2,GES,3.0,
6,100,0.2,MCMC,2.0,0
6,100,0.2,GES,5.0,
6,1000,0.2,MCMC,3.0,0
6,1000,0.2,GES,2.0,
6,500,0.2,MCMC,3.0,0
6,500,0.2,GES,2.0,
6,100,0.2,MCMC,3.0,2
6,100,0.2,GES,2.0,
6,1000,0.2,MCMC,3.0,0
6,1000,0.2,GES,3.0,
6,500,0.2,MCMC,3.0,0
6,500,0.2,GES,1.0,
6,100,0.2,MCMC,4.0,1
6,100,0.2,GES,7.0,
6,1000,0.2,MCMC,3.0,2
6,1000,0.2,GES,0.0,
6,500,0.2,MCMC,1.0,1
6,500,0.2,GES,0.0,
6,100,0.2,MCMC,1.0,2
6,100,0.2,GES,2.0,
6,1000,0.2,MCMC,4.0,0
6,1000,0.2,GES,4.0,
6,500,0.2,MCMC,2.0,1
6,500,0.2,GES,2.0,
6,100,0.2,MCMC,2.0,1
6,100,0.2,GES,4.0,
6,1000,0.2,MCMC,2.0,1
6,1000,0.2,GES,3.0,
6,500,0.2,MCMC,4.0,2
6,500,0.2,GES,3.0,
6,100,0.2,MCMC,3.0,1
6,100,0.2,GES,3.0,
6,1000,0.2,MCMC,1.0,2
6,1000,0.2,GES,1.0,
6,500,0.2,MCMC,5.0,2
6,500,0.2,GES,1.0,
6,100,0.2,MCMC,3.0,2
6,100,0.2,GES,1.0,
6,1000,0.2,MCMC,3.0,0
6,1000,0.2,GES,2.0,
6,500,0.2,MCMC,2.0,0
6,500,0.2,GES,0.0,
6,100,0.2,MCMC,5.0,2
6,100,0.2,GES,4.0,
6,1000,0.2,MCMC,1.0,3
6,1000,0.2,GES,3.0,
6,500,0.2,MCMC,4.0,3
6,500,0.2,GES,3.0,
6,100,0.2,MCMC,3.0,2
6,100,0.2,GES,5.0,
6,1000,0.2,MCMC,6.0,1
6,1000,0.2,GES,3.0,
6,500,0.2,MCMC,3.0,0
6,500,0.2,GES,5.0,
6,100,0.2,MCMC,6.0,0
6,100,0.2,GES,4.0,
6,1000,0.2,MCMC,2.0,2
6,1000,0.2,GES,0.0,
6,500,0.2,MCMC,3.0,0
6,500,0.2,GES,0.0,
6,100,0.2,MCMC,3.0,0
6,100,0.2,GES,2.0,
6,1000,0.2,MCMC,1.0,3
6,1000,0.2,GES,1.0,
6,500,0.2,MCMC,1.0,2
6,500,0.2,GES,1.0,
6,100,0.2,MCMC,1.0,2
6,100,0.2,GES,1.0,
6,1000,0.2,MCMC,3.0,0
6,1000,0.2,GES,0.0,
6,500,0.2,MCMC,3.0,2
6,500,0.2,GES,0.0,
6,100,0.2,MCMC,2.0,3
6,100,0.2,GES,0.0,
6,1000,0.2,MCMC,2.0,3
6,1000,0.2,GES,4.0,
6,500,0.2,MCMC,1.0,2
6,500,0.2,GES,6.0,
6,100,0.2,MCMC,0.0,1
6,100,0.2,GES,4.0,
6,1000,0.2,MCMC,3.0,3
6,1000,0.2,GES,3.0,
6,500,0.2,MCMC,3.0,0
6,500,0.2,GES,3.0,
6,100,0.2,MCMC,5.0,3
6,100,0.2,GES,4.0,
6,1000,0.2,MCMC,3.0,3
6,1000,0.2,GES,4.0,
6,500,0.2,MCMC,6.0,2
6,500,0.2,GES,2.0,
6,100,0.2,MCMC,4.0,3
6,100,0.2,GES,2.0,
6,1000,0.2,MCMC,1.0,2
6,1000,0.2,GES,2.0,
6,500,0.2,MCMC,2.0,1
6,500,0.2,GES,2.0,
6,100,0.2,MCMC,2.0,2
6,100,0.2,GES,2.0,
6,1000,0.2,MCMC,4.0,0
6,1000,0.2,GES,2.0,
